suburb,timestamp,price,percentage_change
Ardrossan,2023-08-22,368700.0,-1.817195551939246
Ardrossan,2023-09-19,362000.0,-1.817195551939246
Ardrossan,2023-09-28,362000.0,-1.817195551939246
Ardrossan,2023-10-17,365900.0,-1.817195551939246
Ardrossan,2023-10-23,365900.0,-1.817195551939246
Ardrossan,2023-11-11,365900.0,-1.817195551939246
Ardrossan,2024-05-24,367700.0,-1.817195551939246
Armagh,2023-08-22,347500.0,0.0
Armagh,2023-09-19,347500.0,0.0
Armagh,2023-09-28,347500.0,0.0
Armagh,2023-10-17,347500.0,0.0
Armagh,2023-10-23,347500.0,0.0
Armagh,2023-11-11,347500.0,0.0
Armagh,2024-05-24,838700.0,0.0
Arno Bay,2023-08-22,199600.0,0.0
Arno Bay,2023-09-19,199600.0,0.0
Arno Bay,2023-09-28,199600.0,0.0
Arno Bay,2023-10-17,199600.0,0.0
Arno Bay,2023-10-23,199600.0,0.0
Arno Bay,2023-11-11,199600.0,0.0
Arno Bay,2024-05-24,199600.0,0.0
Arthurton,2023-08-22,209200.0,0.0
Arthurton,2023-09-19,209200.0,0.0
Arthurton,2023-09-28,209200.0,0.0
Arthurton,2023-10-17,209200.0,0.0
Arthurton,2023-10-23,209200.0,0.0
Arthurton,2023-11-11,209200.0,0.0
Arthurton,2024-05-24,209200.0,0.0
Ascot Park,2023-08-22,653600.0,-2.5091799265605874
Ascot Park,2023-09-19,637200.0,-2.5091799265605874
Ascot Park,2023-09-28,637200.0,-2.5091799265605874
Ascot Park,2023-10-17,645600.0,-2.5091799265605874
Ascot Park,2023-10-23,645600.0,-2.5091799265605874
Ascot Park,2023-11-11,645600.0,-2.5091799265605874
Ascot Park,2024-05-24,728600.0,-2.5091799265605874
Ashbourne,2023-08-22,476600.0,0.0
Ashbourne,2023-09-19,476600.0,0.0
Ashbourne,2023-09-28,476600.0,0.0
Ashbourne,2023-10-17,476600.0,0.0
Ashbourne,2023-10-23,476600.0,0.0
Ashbourne,2023-11-11,476600.0,0.0
Ashbourne,2024-05-24,1188300.0,0.0
Ashford,2023-08-22,773200.0,-8.975685463010864
Ashford,2023-09-19,703800.0,-8.975685463010864
Ashford,2023-09-28,703800.0,-8.975685463010864
Ashford,2023-10-17,703800.0,-8.975685463010864
Ashford,2023-10-23,703800.0,-8.975685463010864
Ashford,2023-11-11,703800.0,-8.975685463010864
Ashford,2024-05-24,736400.0,-8.975685463010864
Ashton,2023-08-22,1662500.0,0.0
Ashton,2023-09-19,1662500.0,0.0
Ashton,2023-09-28,1662500.0,0.0
Ashton,2023-10-17,1662500.0,0.0
Ashton,2023-10-23,1662500.0,0.0
Ashton,2023-11-11,1662500.0,0.0
Ashton,2024-05-24,1020000.0,0.0
Athelstone,2023-08-22,797500.0,0.4263322884012539
Athelstone,2023-09-19,800900.0,0.4263322884012539
Athelstone,2023-09-28,800900.0,0.4263322884012539
Athelstone,2023-10-17,803900.0,0.4263322884012539
Athelstone,2023-10-23,803900.0,0.4263322884012539
Athelstone,2023-11-11,803900.0,0.4263322884012539
Athelstone,2024-05-24,840900.0,0.4263322884012539
Athol Park,2023-08-22,564500.0,4.180690876882196
Athol Park,2023-09-19,588100.0,4.180690876882196
Athol Park,2023-09-28,588100.0,4.180690876882196
Athol Park,2023-10-17,599500.0,4.180690876882196
Athol Park,2023-10-23,599500.0,4.180690876882196
Athol Park,2023-11-11,599500.0,4.180690876882196
Athol Park,2024-05-24,633900.0,4.180690876882196
Auburn,2023-08-22,340400.0,1.0575793184488838
Auburn,2023-09-19,344000.0,1.0575793184488838
Auburn,2023-09-28,344000.0,1.0575793184488838
Auburn,2023-10-17,344000.0,1.0575793184488838
Auburn,2023-10-23,344000.0,1.0575793184488838
Auburn,2023-11-11,344000.0,1.0575793184488838
Auburn,2024-05-24,402300.0,1.0575793184488838
Auldana,2023-08-22,1292600.0,0.0
Auldana,2023-09-19,1292600.0,0.0
Auldana,2023-09-28,1292600.0,0.0
Auldana,2023-10-17,1292600.0,0.0
Auldana,2023-10-23,1292600.0,0.0
Auldana,2023-11-11,1292600.0,0.0
Auldana,2024-05-24,1292600.0,0.0
Balaklava,2023-08-22,303300.0,3.5938015166501818
Balaklava,2023-09-19,314200.0,3.5938015166501818
Balaklava,2023-09-28,314200.0,3.5938015166501818
Balaklava,2023-10-17,314300.0,3.5938015166501818
Balaklava,2023-10-23,314300.0,3.5938015166501818
Balaklava,2023-11-11,314300.0,3.5938015166501818
Balaklava,2024-05-24,361700.0,3.5938015166501818
Balgowan,2023-08-22,461600.0,0.0
Balgowan,2023-09-19,461600.0,0.0
Balgowan,2023-09-28,461600.0,0.0
Balgowan,2023-10-17,461600.0,0.0
Balgowan,2023-10-23,461600.0,0.0
Balgowan,2023-11-11,461600.0,0.0
Balgowan,2024-05-24,404100.0,0.0
Balhannah,2023-08-22,712000.0,1.0112359550561798
Balhannah,2023-09-19,719200.0,1.0112359550561798
Balhannah,2023-09-28,719200.0,1.0112359550561798
Balhannah,2023-10-17,753500.0,1.0112359550561798
Balhannah,2023-10-23,753500.0,1.0112359550561798
Balhannah,2023-11-11,753500.0,1.0112359550561798
Balhannah,2024-05-24,825100.0,1.0112359550561798
Banksia Park,2023-08-22,649800.0,2.200677131425054
Banksia Park,2023-09-19,664100.0,2.200677131425054
Banksia Park,2023-09-28,664100.0,2.200677131425054
Banksia Park,2023-10-17,660700.0,2.200677131425054
Banksia Park,2023-10-23,660700.0,2.200677131425054
Banksia Park,2023-11-11,660700.0,2.200677131425054
Banksia Park,2024-05-24,675300.0,2.200677131425054
Barmera,2023-08-22,350800.0,-9.492588369441277
Barmera,2023-09-19,317500.0,-9.492588369441277
Barmera,2023-09-28,317500.0,-9.492588369441277
Barmera,2023-10-17,317500.0,-9.492588369441277
Barmera,2023-10-23,317500.0,-9.492588369441277
Barmera,2023-11-11,317500.0,-9.492588369441277
Barmera,2024-05-24,421100.0,-9.492588369441277
Basket Range,2023-08-22,896000.0,0.0
Basket Range,2023-09-19,896000.0,0.0
Basket Range,2023-09-28,896000.0,0.0
Basket Range,2023-10-17,896000.0,0.0
Basket Range,2023-10-23,896000.0,0.0
Basket Range,2023-11-11,896000.0,0.0
Basket Range,2024-05-24,1115000.0,0.0
Baudin Beach,2023-08-22,286600.0,0.0
Baudin Beach,2023-09-19,286600.0,0.0
Baudin Beach,2023-09-28,286600.0,0.0
Baudin Beach,2023-10-17,286600.0,0.0
Baudin Beach,2023-10-23,286600.0,0.0
Baudin Beach,2023-11-11,286600.0,0.0
Baudin Beach,2024-05-24,286600.0,0.0
Beachport,2023-08-22,502100.0,2.907787293367855
Beachport,2023-09-19,516700.0,2.907787293367855
Beachport,2023-09-28,516700.0,2.907787293367855
Beachport,2023-10-17,552800.0,2.907787293367855
Beachport,2023-10-23,552800.0,2.907787293367855
Beachport,2023-11-11,552800.0,2.907787293367855
Beachport,2024-05-24,556000.0,2.907787293367855
Beaumont,2023-08-22,1644800.0,0.054717898832684825
Beaumont,2023-09-19,1645700.0,0.054717898832684825
Beaumont,2023-09-28,1645700.0,0.054717898832684825
Beaumont,2023-10-17,1762400.0,0.054717898832684825
Beaumont,2023-10-23,1762400.0,0.054717898832684825
Beaumont,2023-11-11,1762400.0,0.054717898832684825
Beaumont,2024-05-24,1830600.0,0.054717898832684825
Bedford Park,2023-08-22,704400.0,0.6672345258375922
Bedford Park,2023-09-19,709100.0,0.6672345258375922
Bedford Park,2023-09-28,709100.0,0.6672345258375922
Bedford Park,2023-10-17,723300.0,0.6672345258375922
Bedford Park,2023-10-23,723300.0,0.6672345258375922
Bedford Park,2023-11-11,723300.0,0.6672345258375922
Bedford Park,2024-05-24,780700.0,0.6672345258375922
Belair,2023-08-22,993900.0,5.191669182010263
Belair,2023-09-19,1045500.0,5.191669182010263
Belair,2023-09-28,1045500.0,5.191669182010263
Belair,2023-10-17,1075500.0,5.191669182010263
Belair,2023-10-23,1075500.0,5.191669182010263
Belair,2023-11-11,1075500.0,5.191669182010263
Belair,2024-05-24,1111300.0,5.191669182010263
Bellevue Heights,2023-08-22,872600.0,-1.8909007563603024
Bellevue Heights,2023-09-19,856100.0,-1.8909007563603024
Bellevue Heights,2023-09-28,856100.0,-1.8909007563603024
Bellevue Heights,2023-10-17,864400.0,-1.8909007563603024
Bellevue Heights,2023-10-23,864400.0,-1.8909007563603024
Bellevue Heights,2023-11-11,864400.0,-1.8909007563603024
Bellevue Heights,2024-05-24,916100.0,-1.8909007563603024
Berri,2023-08-22,334500.0,9.536621823617338
Berri,2023-09-19,366400.0,9.536621823617338
Berri,2023-09-28,366400.0,9.536621823617338
Berri,2023-10-17,362300.0,9.536621823617338
Berri,2023-10-23,362300.0,9.536621823617338
Berri,2023-11-11,362300.0,9.536621823617338
Berri,2024-05-24,389500.0,9.536621823617338
Beulah Park,2023-08-22,1236000.0,-3.6003236245954695
Beulah Park,2023-09-19,1191500.0,-3.6003236245954695
Beulah Park,2023-09-28,1191500.0,-3.6003236245954695
Beulah Park,2023-10-17,1201400.0,-3.6003236245954695
Beulah Park,2023-10-23,1201400.0,-3.6003236245954695
Beulah Park,2023-11-11,1201400.0,-3.6003236245954695
Beulah Park,2024-05-24,1370200.0,-3.6003236245954695
Beverley,2023-08-22,677700.0,3.8365058285377005
Beverley,2023-09-19,703700.0,3.8365058285377005
Beverley,2023-09-28,703700.0,3.8365058285377005
Beverley,2023-10-17,726600.0,3.8365058285377005
Beverley,2023-10-23,726600.0,3.8365058285377005
Beverley,2023-11-11,726600.0,3.8365058285377005
Beverley,2024-05-24,892300.0,3.8365058285377005
Birdwood,2023-08-22,536200.0,-5.128683327116748
Birdwood,2023-09-19,508700.0,-5.128683327116748
Birdwood,2023-09-28,508700.0,-5.128683327116748
Birdwood,2023-10-17,508700.0,-5.128683327116748
Birdwood,2023-10-23,508700.0,-5.128683327116748
Birdwood,2023-11-11,508700.0,-5.128683327116748
Birdwood,2024-05-24,663300.0,-5.128683327116748
Birkenhead,2023-08-22,682500.0,-2.73992673992674
Birkenhead,2023-09-19,663800.0,-2.73992673992674
Birkenhead,2023-09-28,663800.0,-2.73992673992674
Birkenhead,2023-10-17,663800.0,-2.73992673992674
Birkenhead,2023-10-23,663800.0,-2.73992673992674
Birkenhead,2023-11-11,663800.0,-2.73992673992674
Birkenhead,2024-05-24,691000.0,-2.73992673992674
Black Forest,2023-08-22,887000.0,7.677564825253665
Black Forest,2023-09-19,955100.0,7.677564825253665
Black Forest,2023-09-28,955100.0,7.677564825253665
Black Forest,2023-10-17,955100.0,7.677564825253665
Black Forest,2023-10-23,955100.0,7.677564825253665
Black Forest,2023-11-11,955100.0,7.677564825253665
Black Forest,2024-05-24,1086500.0,7.677564825253665
Black Point,2024-05-24,874500.0,
Blackfellows Caves,2023-08-22,159300.0,0.0
Blackfellows Caves,2023-09-19,159300.0,0.0
Blackfellows Caves,2023-09-28,159300.0,0.0
Blackfellows Caves,2023-10-17,159300.0,0.0
Blackfellows Caves,2023-10-23,159300.0,0.0
Blackfellows Caves,2023-11-11,159300.0,0.0
