suburb,lower_date,upper_date,pct_change
Coonalpyn,2023-08-22,2024-05-24,67.73187840997662
Coonamia,2024-05-24,2024-05-24,0.0
Corny Point,2023-08-22,2024-05-24,0.0
Coromandel East,2023-08-22,2024-05-24,22.14342001576044
Coromandel Valley,2023-08-22,2024-05-24,5.503709021296961
Cowandilla,2023-08-22,2024-05-24,1.6691147015622914
Cowell,2023-08-22,2024-05-24,10.215920077344505
Crafers,2023-08-22,2024-05-24,26.9943361812422
Crafers West,2023-08-22,2024-05-24,3.4859937750111163
Craigburn Farm,2023-08-22,2024-05-24,7.09128830418739
Craigmore,2023-08-22,2024-05-24,16.64535379369139
Cross Roads,2023-08-22,2024-05-24,0.0
Croydon,2023-08-22,2024-05-24,19.098762549614754
Croydon Park,2023-08-22,2024-05-24,11.305536568694464
Crystal Brook,2023-08-22,2024-05-24,24.40740740740741
Cudlee Creek,2023-08-22,2024-05-24,45.43017304411406
Cumberland Park,2023-08-22,2024-05-24,6.852497096399536
Cummins,2023-08-22,2024-05-24,-21.196105702364395
Curramulka,2023-08-22,2024-05-24,0.0
Currency Creek,2023-08-22,2024-05-24,2.9395574149510075
Darlington,2023-08-22,2024-05-24,18.551724137931032
Davoren Park,2023-08-22,2024-05-24,16.666666666666664
Daw Park,2023-08-22,2024-05-24,5.514869063470928
Dawesley,2023-08-22,2024-05-24,13.333333333333334
Delamere,2023-08-22,2024-05-24,0.0
Dernancourt,2023-08-22,2024-05-24,10.400670110288985
Devon Park,2023-08-22,2024-05-24,7.180585296216988
Direk,2023-08-22,2024-05-24,7.243305721440955
Donovans,2023-08-22,2024-05-24,-36.542669584245075
Dover Gardens,2023-08-22,2024-05-24,9.249045396690708
Dry Creek,2023-08-22,2024-05-24,0.0
Dublin,2023-08-22,2024-05-24,-17.36470588235294
Dudley Park,2023-08-22,2024-05-24,37.19851576994434
Dulwich,2023-08-22,2024-05-24,-8.083356183164245
Dutton,2023-08-22,2024-05-24,0.0
East Moonta,2023-08-22,2024-05-24,0.0
Eastwood,2023-08-22,2024-05-24,17.54580788450861
Echunga,2023-08-22,2024-05-24,-1.4492753623188406
Eden Hills,2023-08-22,2024-05-24,4.974306269270298
Eden Valley,2023-08-22,2024-05-24,11.441202475685234
Edithburgh,2023-08-22,2024-05-24,28.932424758659852
Edwardstown,2023-08-22,2024-05-24,6.06338397066527
Eight Mile Creek,2023-08-22,2024-05-24,102.62777938203868
Elizabeth,2023-08-22,2024-05-24,-4.901511681172698
Elizabeth Downs,2023-08-22,2024-05-24,15.035260930888574
Elizabeth East,2023-08-22,2024-05-24,14.41932969602494
Elizabeth Grove,2023-08-22,2024-05-24,11.210539398458861
Elizabeth North,2023-08-22,2024-05-24,12.963495257257831
Elizabeth Park,2023-08-22,2024-05-24,22.228246137164543
Elizabeth South,2023-08-22,2024-05-24,4.639175257731959
