suburb,lower_date,upper_date,pct_change
Pine Point,2023-08-22,2024-05-24,0.0
Pinks Beach,2023-08-22,2024-05-24,0.0
Pinnaroo,2023-08-22,2024-05-24,-36.26373626373626
Plympton,2023-08-22,2024-05-24,12.063535533342462
Plympton Park,2023-08-22,2024-05-24,14.833891321143447
Point Boston,2023-08-22,2024-05-24,9.932088285229202
Point Turton,2023-08-22,2024-05-24,70.62545631540522
Pooraka,2023-08-22,2024-05-24,10.950163821348509
Port Adelaide,2023-08-22,2024-05-24,-3.376484719071133
Port Augusta,2023-08-22,2024-05-24,0.13303769401330376
Port Augusta West,2023-08-22,2024-05-24,17.724458204334365
Port Broughton,2023-08-22,2024-05-24,19.667725384803322
Port Clinton,2023-08-22,2024-05-24,0.0
Port Elliot,2023-08-22,2024-05-24,13.192023427694883
Port Germein,2023-08-22,2024-05-24,18.874868559411144
Port Hughes,2023-08-22,2024-05-24,-3.9944478716841454
Port Julia,2023-08-22,2024-05-24,-5.227513227513227
Port Lincoln,2023-08-22,2024-05-24,10.118356927361337
Port MacDonnell,2023-08-22,2024-05-24,14.312485359568985
Port Moorowie,2023-08-22,2024-05-24,0.0
Port Neill,2023-08-22,2024-05-24,-23.243243243243246
Port Noarlunga,2023-08-22,2024-05-24,28.43550148182811
Port Noarlunga South,2023-08-22,2024-05-24,-3.739071956960323
Port Pirie,2023-08-22,2024-05-24,13.089864587607714
Port Pirie South,2023-08-22,2024-05-24,0.0
Port Pirie West,2023-08-22,2024-05-24,94.12371134020619
Port Victoria,2023-08-22,2024-05-24,-10.753221010901882
Port Vincent,2023-08-22,2024-05-24,68.51896017171477
Port Wakefield,2023-08-22,2024-05-24,22.719449225473323
Port Willunga,2023-08-22,2024-05-24,29.733373277411623
Price,2023-08-22,2024-05-24,4.267631103074141
Prospect,2023-08-22,2024-05-24,4.98502560139117
Queenstown,2023-08-22,2024-05-24,13.088753604613906
Quorn,2023-08-22,2024-05-24,-12.859560067681894
Ramco,2023-08-22,2024-05-24,0.0
Ramco Heights,2023-08-22,2024-05-24,0.0
Redbanks,2023-08-22,2024-05-24,0.0
Redwood Park,2023-08-22,2024-05-24,14.615134784020785
Reid,2023-08-22,2024-05-24,-1.6416643079535806
Renmark,2023-08-22,2024-05-24,4.528853177501826
Renmark North,2023-08-22,2024-05-24,0.0
Renmark South,2023-08-22,2024-05-24,0.0
Renmark West,2023-08-22,2024-05-24,0.0
Renown Park,2023-08-22,2024-05-24,27.82403770620581
Reynella,2023-08-22,2024-05-24,11.547182975754405
Reynella East,2023-08-22,2024-05-24,8.655233210450392
Rhynie,2023-08-22,2024-05-24,0.0
Richmond,2023-08-22,2024-05-24,7.471193160698799
Ridgehaven,2023-08-22,2024-05-24,5.306621807615843
Ridleyton,2023-08-22,2024-05-24,11.002725577392052
Risdon Park,2023-08-22,2024-05-24,96.52820830750156
Risdon Park South,2023-08-22,2024-05-24,0.0
Riverglades,2023-08-22,2024-05-24,0.0
Riverton,2023-08-22,2024-05-24,60.87119789710852
Robe,2023-08-22,2024-05-24,12.940363803822244
Robertstown,2023-08-22,2024-05-24,0.0
Rockleigh,2023-08-22,2024-05-24,0.0
Rogues Point,2023-08-22,2024-05-24,0.0
Rose Park,2023-08-22,2024-05-24,0.18186778212239701
Rosedale,2023-08-22,2024-05-24,143.5909409292552
Rosetown,2023-08-22,2024-05-24,0.0
Rosewater,2023-08-22,2024-05-24,19.992756247736327
Roseworthy,2023-08-22,2024-05-24,8.23075782292748
Rosslyn Park,2023-08-22,2024-05-24,19.626734941382562
Rostrevor,2023-08-22,2024-05-24,9.615384615384617
Roxby Downs,2023-08-22,2024-05-24,1.9067796610169492
Royal Park,2023-08-22,2024-05-24,15.367121507472383
Royston Park,2023-08-22,2024-05-24,2.887587976057357
Saddleworth,2023-08-22,2024-05-24,36.10078479966956
Salisbury,2023-08-22,2024-05-24,19.671132764920827
Salisbury Downs,2023-08-22,2024-05-24,12.85242076608983
Salisbury East,2023-08-22,2024-05-24,12.193675889328064
Salisbury Heights,2023-08-22,2024-05-24,3.5908756438557767
Salisbury North,2023-08-22,2024-05-24,17.76673763898746
Salisbury Park,2023-08-22,2024-05-24,3.7756801776790674
Salisbury Plain,2023-08-22,2024-05-24,13.76128778955634
Sandy Creek,2023-08-22,2024-05-24,0.0
Scott Creek,2023-08-22,2024-05-24,0.0
Seacliff,2023-08-22,2024-05-24,9.774653312788907
Seacliff Park,2023-08-22,2024-05-24,18.119090212113466
Seacombe Gardens,2023-08-22,2024-05-24,11.952070377673289
Seacombe Heights,2023-08-22,2024-05-24,8.002065049044916
Seaford,2023-08-22,2024-05-24,8.236418671339813
Seaford Meadows,2023-08-22,2024-05-24,13.380281690140844
Seaford Rise,2023-08-22,2024-05-24,11.323713927227102
Seaton,2023-08-22,2024-05-24,13.026297860743972
Seaview Downs,2023-08-22,2024-05-24,12.385852090032154
Second Valley,2023-08-22,2024-05-24,-0.18260292164674632
Sedan,2023-08-22,2024-05-24,0.0
Sefton Park,2023-08-22,2024-05-24,-4.768125408229915
Sellicks Beach,2023-08-22,2024-05-24,5.360333531864205
Sellicks Hill,2023-08-22,2024-05-24,0.0
Semaphore,2023-08-22,2024-05-24,-4.36306973120374
Semaphore Park,2023-08-22,2024-05-24,-1.8988088217950232
Semaphore South,2023-08-22,2024-05-24,36.984448951994594
Sevenhill,2023-08-22,2024-05-24,14.426792614856163
Sheaoak Flat,2023-08-22,2024-05-24,0.0
Sheidow Park,2023-08-22,2024-05-24,12.08903113180099
Skye,2023-08-22,2024-05-24,45.271590465025405
Smithfield,2023-08-22,2024-05-24,22.97581493165089
Smithfield Plains,2023-08-22,2024-05-24,20.807369276618804
Smoky Bay,2023-08-22,2024-05-24,-34.787830264211365
Snowtown,2023-08-22,2024-05-24,-1.4277869302580999
Solomontown,2023-08-22,2024-05-24,0.0
Somerton Park,2023-08-22,2024-05-24,15.810334703464473
South Brighton,2023-08-22,2024-05-24,6.348905524495405
South Plympton,2023-08-22,2024-05-24,7.455232062370569
Southend,2023-08-22,2024-05-24,34.92676973148902
Spalding,2023-08-22,2024-05-24,-10.096818810511756
Springfield,2023-08-22,2024-05-24,25.995968129019868
Springton,2023-08-22,2024-05-24,28.40909090909091
St Agnes,2023-08-22,2024-05-24,5.96396109073513
St Georges,2023-08-22,2024-05-24,-2.127659574468085
St Kilda,2023-08-22,2024-05-24,21.614445034519385
St Marys,2023-08-22,2024-05-24,12.63433452741802
St Morris,2023-08-22,2024-05-24,55.61594202898551
St Peters,2023-08-22,2024-05-24,14.553472987872107
Stansbury,2023-08-22,2024-05-24,-20.030234315948604
Stepney,2023-08-22,2024-05-24,13.227513227513226
Stirling,2023-08-22,2024-05-24,5.695687550854353
Stirling North,2023-08-22,2024-05-24,-5.56640625
Stockport,2023-08-22,2024-05-24,0.0
Stockwell,2023-08-22,2024-05-24,30.131426362582143
Stonyfell,2023-08-22,2024-05-24,10.93556607207863
Strathalbyn,2023-08-22,2024-05-24,11.619718309859154
Streaky Bay,2023-08-22,2024-05-24,2.0062416406598307
Sturt,2023-08-22,2024-05-24,9.919797382861967
Sultana Point,2023-08-22,2024-05-24,0.0
Summertown,2023-08-22,2024-05-24,-19.213276948855025
Sunlands,2023-08-22,2024-05-24,107.28029121164846
Sunnyside,2023-08-22,2024-05-24,-10.504694835680752
Surrey Downs,2023-08-22,2024-05-24,5.270247516416905
Suttontown,2023-08-22,2024-05-24,-2.654488368774083
Swan Reach,2023-08-22,2024-05-24,0.0
Tailem Bend,2023-08-22,2024-05-24,11.102747459540835
Tantanoola,2023-08-22,2024-05-24,18.05668016194332
Tanunda,2023-08-22,2024-05-24,20.12455516014235
Taperoo,2023-08-22,2024-05-24,15.35841461526552
Tarlee,2023-08-22,2024-05-24,0.0
Tarpeena,2023-08-22,2024-05-24,130.10291595197256
Tatachilla,2023-08-22,2024-05-24,0.0
Taylorville,2023-08-22,2024-05-24,0.0
Tea Tree Gully,2023-08-22,2024-05-24,5.260243632336656
Tennyson,2023-08-22,2024-05-24,1.6316345138688935
Teringie,2023-08-22,2024-05-24,3.574856046065259
The Pines,2023-08-22,2024-05-24,60.01784917447568
The Range,2023-08-22,2024-05-24,0.0
Thebarton,2023-08-22,2024-05-24,8.064516129032258
Thevenard,2023-08-22,2024-05-24,-0.3751705320600273
Thompson Beach,2023-08-22,2024-05-24,62.23744292237443
Thorngate,2023-08-22,2024-05-24,0.0
Tickera,2023-08-22,2024-05-24,-8.391304347826086
Tiddy Widdy Beach,2023-08-22,2024-05-24,8.509423186750428
Tintinara,2023-08-22,2024-05-24,0.0
Toorak Gardens,2023-08-22,2024-05-24,-5.481838208924637
Torrens Park,2023-08-22,2024-05-24,3.2598274209012463
Torrensville,2023-08-22,2024-05-24,-2.292587642644186
Totness,2023-08-22,2024-05-24,0.0
Tranmere,2023-08-22,2024-05-24,7.757528505993568
Trinity Gardens,2023-08-22,2024-05-24,14.542306859987017
Trott Park,2023-08-22,2024-05-24,8.128
Truro,2023-08-22,2024-05-24,0.0
Tumby Bay,2023-08-22,2024-05-24,4.958861463197688
Tungkillo,2023-08-22,2024-05-24,-8.833196384552178
Tusmore,2023-08-22,2024-05-24,13.380204926967517
Two Wells,2023-08-22,2024-05-24,16.915902878276253
Underdale,2023-08-22,2024-05-24,12.080787931679343
Unley,2023-08-22,2024-05-24,14.649859943977592
Unley Park,2023-08-22,2024-05-24,19.65811965811966
Upper Hermitage,2023-08-22,2024-05-24,0.0
Upper Sturt,2023-08-22,2024-05-24,43.86564525633471
Uraidla,2023-08-22,2024-05-24,-33.6101705743308
Urrbrae,2023-08-22,2024-05-24,5.890473999079614
Vale Park,2023-08-22,2024-05-24,0.528604314093273
Valley View,2023-08-22,2024-05-24,9.210526315789473
Venus Bay,2023-08-22,2024-05-24,52.57198317696539
Verdun,2023-08-22,2024-05-24,43.24223602484472
Victor Harbor,2023-08-22,2024-05-24,16.686692700510662
Virginia,2023-08-22,2024-05-24,16.038617253192154
Vista,2023-08-22,2024-05-24,10.13146613318091
Vivonne Bay,2023-08-22,2024-05-24,0.0
Waikerie,2023-08-22,2024-05-24,7.568052647322763
Waitpinga,2023-08-22,2024-05-24,0.0
Walker Flat,2023-08-22,2024-05-24,0.0
Walkerville,2023-08-22,2024-05-24,-19.197328266252086
Walkley Heights,2023-08-22,2024-05-24,8.409884849268986
Wallaroo,2023-08-22,2024-05-24,27.371342078708377
Wallaroo Mines,2023-08-22,2024-05-24,0.0
Warooka,2023-08-22,2024-05-24,0.0
Warradale,2023-08-22,2024-05-24,9.690524554905007
Wasleys,2023-08-22,2024-05-24,24.110320284697508
Waterfall Gully,2023-08-22,2024-05-24,0.0
Waterloo Corner,2023-08-22,2024-05-24,-9.81373776043584
Watervale,2023-08-22,2024-05-24,33.92974034475235
Wattle Park,2023-08-22,2024-05-24,7.270369240158682
Wayville,2023-08-22,2024-05-24,10.617059891107077
Welland,2023-08-22,2024-05-24,3.6872384937238496
Wellington,2023-08-22,2024-05-24,-48.56953642384106
Wellington East,2023-08-22,2024-05-24,-3.767660910518053
West Beach,2023-08-22,2024-05-24,-0.7009718018161543
West Croydon,2023-08-22,2024-05-24,3.837907375643225
West Hindmarsh,2023-08-22,2024-05-24,25.903688273495895
West Lakes,2023-08-22,2024-05-24,19.72689075630252
West Lakes Shore,2023-08-22,2024-05-24,20.355163210839663
West Richmond,2023-08-22,2024-05-24,10.482119588822933
Westbourne Park,2023-08-22,2024-05-24,22.54371035123008
White Sands,2023-08-22,2024-05-24,0.0
Whites Valley,2023-08-22,2024-05-24,42.755102040816325
Whyalla,2023-08-22,2024-05-24,10.518690234714576
Whyalla Jenkins,2023-08-22,2024-05-24,3.905784138342278
Whyalla Norrie,2023-08-22,2024-05-24,25.636192271442038
Whyalla Playford,2023-08-22,2024-05-24,14.042867701404289
Whyalla Stuart,2023-08-22,2024-05-24,3.597122302158273
Willaston,2023-08-22,2024-05-24,11.235244519392918
Williamstown,2023-08-22,2024-05-24,4.109814236396515
Willunga,2023-08-22,2024-05-24,-2.740167633784655
Willunga South,2023-08-22,2024-05-24,-8.379827152390328
Wilmington,2023-08-22,2024-05-24,0.0
Windsor,2023-08-22,2024-05-24,0.0
Windsor Gardens,2023-08-22,2024-05-24,11.861709822074353
Wingfield,2023-08-22,2024-05-24,21.35102533172497
Winkie,2023-08-22,2024-05-24,0.0
Wirrabara,2023-08-22,2024-05-24,0.0
Wirrina Cove,2023-08-22,2024-05-24,35.21388716676999
Wistow,2023-08-22,2024-05-24,0.0
Wongulla,2023-08-22,2024-05-24,0.0
Woodchester,2023-08-22,2024-05-24,0.0
Woodcroft,2023-08-22,2024-05-24,7.1771051842972735
Woodforde,2023-08-22,2024-05-24,-13.076348702632071
Woodside,2023-08-22,2024-05-24,48.08787632221318
Woodville,2023-08-22,2024-05-24,-1.7701963308657869
Woodville Gardens,2023-08-22,2024-05-24,19.000979431929483
Woodville North,2023-08-22,2024-05-24,18.359240069084628
Woodville Park,2023-08-22,2024-05-24,18.01648195510088
Woodville South,2023-08-22,2024-05-24,18.92586406270076
Woodville West,2023-08-22,2024-05-24,6.0121107266435985
Wool Bay,2023-08-22,2024-05-24,23.14148681055156
Worrolong,2023-08-22,2024-05-24,-6.745270085001372
Wudinna,2023-08-22,2024-05-24,0.0
Wynn Vale,2023-08-22,2024-05-24,7.315985130111525
Wyomi,2023-08-22,2024-05-24,0.0
Yacka,2023-08-22,2024-05-24,0.0
Yahl,2023-08-22,2024-05-24,0.0
Yankalilla,2023-08-22,2024-05-24,21.475953565505804
Yatala Vale,2023-08-22,2024-05-24,60.002414584087894
Yorketown,2023-08-22,2024-05-24,17.317976141505554
Younghusband,2023-08-22,2024-05-24,38.672336404441296
